,0
567,['narrative']
568,['emotional_support']
569,"['informational_support', 'narrative']"
570,['informational_support']
571,['informational_support']
572,"['emotional_support', 'narrative']"
573,['narrative']
574,['emotional_support']
575,"['informational_support', 'narrative']"
576,['emotional_support']
577,[]
578,"['narrative', 'question']"
579,['question']
580,['narrative']
581,"['informational_support', 'narrative']"
582,"['informational_support', 'narrative']"
583,['narrative']
584,['narrative']
585,['informational_support']
586,"['informational_support', 'narrative']"
587,['informational_support']
588,['emotional_support']
589,['external_source']
590,['narrative']
591,['informational_support']
592,['emotional_support']
593,['narrative']
594,['informational_support']
595,['narrative']
596,['narrative']
597,['informational_support']
598,['narrative']
599,"['informational_support', 'narrative']"
600,['narrative']
601,['informational_support']
602,['informational_support']
603,['narrative']
604,['informational_support']
605,['informational_support']
606,['question']
607,['informational_support']
608,"['emotional_support', 'informational_support']"
609,[]
610,['informational_support']
611,"['informational_support', 'narrative']"
612,['narrative']
613,['narrative']
614,"['informational_support', 'narrative']"
615,['narrative']
616,['narrative']
617,['question']
618,['informational_support']
619,['narrative']
620,['informational_support']
621,['question']
622,['narrative']
623,['question']
624,['narrative']
625,['narrative']
626,['narrative']
627,['question']
628,['informational_support']
629,['question']
630,['external_source']
631,['informational_support']
632,['narrative']
633,[]
634,['question']
635,['narrative']
636,['informational_support']
637,['question']
638,['narrative']
639,['question']
640,['external_source']
641,"['informational_support', 'question']"
642,['informational_support']
643,['narrative']
644,['informational_support']
645,['informational_support']
646,['narrative']
647,['informational_support']
648,['emotional_support']
649,[]
650,[]
651,['informational_support']
652,['informational_support']
653,['informational_support']
654,['external_source']
655,['informational_support']
656,['informational_support']
657,"['external_source', 'informational_support']"
658,['narrative']
659,['external_source']
660,['question']
661,['narrative']
662,"['external_source', 'informational_support']"
663,['informational_support']
664,"['informational_support', 'narrative']"
665,['question']
666,['emotional_support']
667,['external_source']
668,['informational_support']
669,[]
670,['external_source']
671,['informational_support']
672,"['informational_support', 'narrative']"
673,['question']
674,"['external_source', 'informational_support']"
675,['emotional_support']
676,[]
677,['question']
678,['informational_support']
679,['informational_support']
680,['narrative']
681,['narrative']
682,['narrative']
683,"['informational_support', 'narrative', 'question']"
684,"['informational_support', 'narrative']"
685,"['informational_support', 'narrative']"
686,['emotional_support']
687,['informational_support']
688,['narrative']
689,"['narrative', 'question']"
690,['narrative']
691,['informational_support']
692,['narrative']
693,['narrative']
694,['narrative']
695,['informational_support']
696,['informational_support']
697,['narrative']
698,"['emotional_support', 'question']"
699,['narrative']
700,['narrative']
701,['narrative']
702,['informational_support']
703,['narrative']
704,['informational_support']
705,['informational_support']
706,['informational_support']
707,['narrative']
708,['informational_support']
709,['external_source']
710,['narrative']
711,['narrative']
712,['narrative']
713,['narrative']
714,['informational_support']
715,['informational_support']
716,['narrative']
717,['narrative']
718,"['narrative', 'question']"
719,['question']
720,['narrative']
721,"['external_source', 'informational_support']"
722,['informational_support']
723,['informational_support']
724,['narrative']
725,['narrative']
726,['informational_support']
727,['narrative']
728,['emotional_support']
729,['narrative']
730,['informational_support']
731,"['external_source', 'informational_support']"
732,['informational_support']
733,['informational_support']
734,['narrative']
735,['informational_support']
736,['narrative']
737,['informational_support']
738,['narrative']
739,['narrative']
740,['narrative']
741,['narrative']
742,['narrative']
743,['narrative']
744,['narrative']
745,['question']
746,['narrative']
747,"['narrative', 'question']"
748,"['informational_support', 'narrative']"
749,['emotional_support']
750,['question']
751,['narrative']
752,['informational_support']
753,[]
754,['informational_support']
755,"['informational_support', 'narrative']"
756,"['informational_support', 'narrative']"
757,['informational_support']
758,['emotional_support']
759,"['informational_support', 'narrative']"
760,['narrative']
761,['informational_support']
762,"['informational_support', 'narrative']"
763,"['informational_support', 'narrative']"
764,['informational_support']
765,['question']
766,"['informational_support', 'narrative']"
767,['informational_support']
768,"['informational_support', 'narrative']"
769,['question']
770,['question']
771,['narrative']
772,['informational_support']
773,[]
774,['narrative']
775,['informational_support']
776,['narrative']
777,['informational_support']
778,['informational_support']
779,"['narrative', 'question']"
780,['emotional_support']
781,['informational_support']
782,['informational_support']
783,['informational_support']
784,['narrative']
785,['narrative']
786,['narrative']
787,['narrative']
788,[]
789,['informational_support']
790,['informational_support']
791,['informational_support']
792,['informational_support']
793,['informational_support']
794,['question']
795,"['informational_support', 'narrative']"
796,['narrative']
797,"['informational_support', 'question']"
798,['informational_support']
799,"['external_source', 'informational_support']"
800,['informational_support']
801,['informational_support']
802,[]
803,['question']
804,['informational_support']
805,"['emotional_support', 'question']"
806,['informational_support']
807,"['external_source', 'informational_support']"
808,['informational_support']
809,['narrative']
810,"['informational_support', 'narrative']"
811,['emotional_support']
812,['narrative']
813,['emotional_support']
814,['informational_support']
815,['informational_support']
816,['narrative']
817,['informational_support']
818,['question']
819,['emotional_support']
820,"['emotional_support', 'question']"
821,"['informational_support', 'narrative']"
822,[]
823,['informational_support']
824,['informational_support']
825,['informational_support']
826,['narrative']
827,['narrative']
828,['informational_support']
829,"['informational_support', 'narrative']"
830,"['emotional_support', 'informational_support']"
831,"['external_source', 'informational_support']"
832,['informational_support']
833,['emotional_support']
834,[]
835,"['informational_support', 'narrative']"
836,['emotional_support']
837,"['informational_support', 'narrative']"
838,['narrative']
839,['narrative']
840,['narrative']
841,['informational_support']
842,['emotional_support']
843,['narrative']
844,['informational_support']
845,['informational_support']
846,"['narrative', 'question']"
847,['narrative']
848,['narrative']
849,['emotional_support']
850,['emotional_support']
851,['narrative']
852,['question']
853,['narrative']
854,[]
855,['narrative']
856,['narrative']
857,['narrative']
858,['narrative']
859,"['informational_support', 'narrative']"
860,[]
861,['informational_support']
862,['narrative']
863,['informational_support']
864,['narrative']
865,['narrative']
866,['external_source']
867,['informational_support']
868,['informational_support']
869,['informational_support']
870,"['informational_support', 'narrative']"
871,['informational_support']
872,[]
873,['question']
874,['narrative']
875,['informational_support']
876,"['informational_support', 'narrative']"
877,['question']
878,['question']
879,['narrative']
880,[]
881,"['emotional_support', 'external_source']"
882,['informational_support']
883,['informational_support']
884,"['emotional_support', 'narrative']"
885,"['narrative', 'question']"
886,['emotional_support']
887,['narrative']
888,['emotional_support']
889,['question']
890,['narrative']
891,['narrative']
892,['informational_support']
893,['question']
894,['informational_support']
895,['narrative']
896,"['informational_support', 'question']"
897,['narrative']
898,['informational_support']
899,"['emotional_support', 'informational_support']"
900,['emotional_support']
901,['narrative']
902,"['external_source', 'informational_support']"
903,['informational_support']
904,['informational_support']
905,['emotional_support']
906,['question']
907,[]
908,"['narrative', 'question']"
909,['informational_support']
910,"['external_source', 'informational_support']"
911,['emotional_support']
912,"['emotional_support', 'question']"
913,['informational_support']
914,['emotional_support']
915,['informational_support']
916,[]
917,[]
918,['informational_support']
919,['narrative']
920,['informational_support']
921,['narrative']
922,['informational_support']
923,['informational_support']
924,['informational_support']
925,"['external_source', 'informational_support']"
926,['emotional_support']
927,['informational_support']
928,[]
929,['emotional_support']
930,['informational_support']
931,['emotional_support']
932,['narrative']
933,['narrative']
934,['emotional_support']
935,['narrative']
936,['informational_support']
937,['emotional_support']
938,['informational_support']
939,['informational_support']
940,['informational_support']
941,['emotional_support']
942,['informational_support']
943,"['emotional_support', 'informational_support']"
944,"['external_source', 'informational_support']"
945,"['external_source', 'informational_support']"
946,['informational_support']
947,['informational_support']
948,['informational_support']
949,['narrative']
950,['informational_support']
951,[]
952,['narrative']
953,[]
954,['narrative']
955,['emotional_support']
956,['informational_support']
957,['informational_support']
958,"['emotional_support', 'informational_support']"
959,['informational_support']
960,['informational_support']
961,"['external_source', 'informational_support']"
962,"['informational_support', 'narrative']"
963,['question']
964,['informational_support']
965,['narrative']
966,['narrative']
967,['narrative']
968,['informational_support']
969,['narrative']
970,['narrative']
971,['narrative']
972,['informational_support']
973,['informational_support']
974,['emotional_support']
975,"['informational_support', 'narrative']"
976,['narrative']
977,['narrative']
978,['informational_support']
979,['narrative']
980,['narrative']
981,['informational_support']
982,['emotional_support']
983,['informational_support']
984,"['informational_support', 'narrative']"
985,"['informational_support', 'narrative']"
986,['informational_support']
987,['narrative']
988,['informational_support']
989,['narrative']
990,['external_source']
991,['narrative']
992,['narrative']
993,['emotional_support']
994,['emotional_support']
995,['emotional_support']
996,['narrative']
997,[]
998,"['external_source', 'informational_support']"
999,['informational_support']
1000,['informational_support']
1001,"['external_source', 'question']"
1002,['informational_support']
1003,['informational_support']
1004,['informational_support']
1005,['narrative']
1006,['informational_support']
1007,['informational_support']
1008,['informational_support']
1009,['narrative']
1010,['informational_support']
1011,['question']
1012,['external_source']
1013,[]
1014,['informational_support']
1015,['narrative']
1016,['narrative']
1017,"['narrative', 'question']"
1018,['question']
1019,"['external_source', 'informational_support']"
1020,['question']
1021,['narrative']
1022,['narrative']
1023,['informational_support']
1024,['narrative']
1025,['informational_support']
1026,['informational_support']
1027,['emotional_support']
1028,['narrative']
1029,['narrative']
1030,['informational_support']
1031,[]
1032,['informational_support']
1033,['emotional_support']
1034,"['informational_support', 'narrative']"
1035,['informational_support']
1036,['emotional_support']
1037,['informational_support']
1038,['emotional_support']
1039,['emotional_support']
1040,['narrative']
1041,['emotional_support']
1042,['narrative']
1043,['question']
1044,['narrative']
1045,['narrative']
1046,['narrative']
1047,['narrative']
1048,['informational_support']
1049,"['emotional_support', 'informational_support']"
1050,['narrative']
1051,['informational_support']
1052,['external_source']
1053,['informational_support']
1054,"['informational_support', 'narrative']"
1055,['informational_support']
1056,['informational_support']
1057,['question']
1058,['narrative']
1059,['informational_support']
1060,['narrative']
1061,['emotional_support']
1062,['narrative']
1063,['emotional_support']
1064,['emotional_support']
1065,"['emotional_support', 'informational_support']"
1066,['question']
1067,"['emotional_support', 'informational_support', 'narrative']"
1068,"['informational_support', 'narrative']"
1069,['informational_support']
1070,['informational_support']
1071,"['informational_support', 'question']"
1072,"['informational_support', 'narrative']"
1073,['question']
1074,['question']
1075,['informational_support']
1076,['narrative']
1077,['question']
1078,['informational_support']
1079,['question']
1080,['informational_support']
1081,"['informational_support', 'question']"
1082,"['informational_support', 'narrative']"
1083,['informational_support']
1084,['external_source']
1085,"['external_source', 'question']"
1086,['question']
1087,['question']
1088,['narrative']
1089,['question']
1090,['emotional_support']
1091,['informational_support']
1092,[]
1093,[]
1094,['informational_support']
1095,['informational_support']
1096,['question']
1097,['informational_support']
1098,"['informational_support', 'question']"
1099,['narrative']
1100,['narrative']
1101,['narrative']
1102,['emotional_support']
1103,['emotional_support']
1104,['emotional_support']
1105,[]
1106,['narrative']
1107,['narrative']
1108,[]
1109,[]
1110,['informational_support']
1111,['informational_support']
1112,"['informational_support', 'narrative']"
1113,['narrative']
1114,['narrative']
1115,['question']
1116,['informational_support']
1117,['question']
1118,['question']
1119,"['informational_support', 'narrative']"
1120,['narrative']
1121,['informational_support']
1122,['informational_support']
1123,['narrative']
1124,"['emotional_support', 'question']"
1125,['informational_support']
1126,['narrative']
1127,['informational_support']
1128,['informational_support']
1129,['narrative']
1130,['narrative']
1131,['narrative']
1132,['informational_support']
1133,[]
1134,['external_source']
1135,['narrative']
1136,['narrative']
1137,['narrative']
1138,"['emotional_support', 'informational_support']"
1139,['narrative']
1140,['informational_support']
1141,"['informational_support', 'narrative']"
1142,['informational_support']
1143,['narrative']
1144,"['informational_support', 'narrative']"
1145,['question']
1146,"['external_source', 'informational_support']"
1147,['question']
1148,['informational_support']
1149,['informational_support']
1150,['narrative']
1151,"['emotional_support', 'informational_support']"
1152,['informational_support']
1153,"['narrative', 'question']"
1154,['narrative']
1155,['narrative']
1156,['narrative']
1157,['narrative']
1158,['informational_support']
1159,['narrative']
1160,['narrative']
1161,[]
1162,['informational_support']
1163,['emotional_support']
1164,['informational_support']
1165,['narrative']
1166,['narrative']
1167,['narrative']
1168,['narrative']
1169,['informational_support']
1170,['informational_support']
1171,['narrative']
1172,['narrative']
1173,['narrative']
1174,[]
1175,"['informational_support', 'narrative']"
1176,['question']
1177,['narrative']
1178,['narrative']
1179,['narrative']
1180,['narrative']
1181,[]
1182,['informational_support']
1183,['narrative']
1184,"['narrative', 'question']"
1185,['narrative']
1186,"['informational_support', 'narrative']"
1187,['narrative']
1188,['narrative']
1189,['narrative']
1190,['narrative']
1191,['informational_support']
1192,['informational_support']
1193,"['informational_support', 'narrative']"
1194,['informational_support']
1195,['narrative']
1196,['narrative']
1197,['informational_support']
1198,['emotional_support']
1199,['informational_support']
1200,['emotional_support']
1201,"['external_source', 'informational_support']"
1202,['question']
1203,['narrative']
1204,['narrative']
1205,['narrative']
1206,['narrative']
1207,['question']
1208,['informational_support']
1209,['narrative']
1210,[]
1211,['informational_support']
1212,[]
1213,[]
1214,['narrative']
1215,['informational_support']
1216,['emotional_support']
1217,['question']
1218,['emotional_support']
1219,['narrative']
1220,['emotional_support']
1221,['narrative']
1222,['emotional_support']
1223,['informational_support']
1224,['informational_support']
1225,['informational_support']
1226,['narrative']
1227,['narrative']
1228,[]
1229,['narrative']
1230,['question']
1231,['narrative']
1232,"['informational_support', 'narrative']"
1233,"['informational_support', 'narrative']"
1234,['narrative']
1235,['informational_support']
1236,['narrative']
1237,['informational_support']
1238,"['informational_support', 'question']"
1239,['narrative']
1240,['narrative']
1241,"['emotional_support', 'narrative']"
1242,['narrative']
1243,['informational_support']
1244,['informational_support']
1245,['informational_support']
1246,['narrative']
1247,['narrative']
1248,['narrative']
1249,['narrative']
1250,['question']
1251,['informational_support']
1252,['question']
1253,['informational_support']
1254,"['emotional_support', 'narrative']"
1255,"['informational_support', 'question']"
1256,['question']
1257,['narrative']
1258,['informational_support']
1259,"['emotional_support', 'informational_support', 'narrative']"
1260,['narrative']
1261,"['emotional_support', 'narrative']"
1262,['narrative']
1263,['question']
1264,['narrative']
1265,['question']
1266,['informational_support']
1267,[]
1268,['emotional_support']
1269,['emotional_support']
1270,['question']
1271,['informational_support']
1272,['question']
1273,['narrative']
1274,['narrative']
1275,"['emotional_support', 'narrative']"
1276,['question']
1277,['narrative']
1278,['emotional_support']
1279,['narrative']
1280,['informational_support']
1281,['informational_support']
1282,['narrative']
1283,['narrative']
1284,['narrative']
1285,['narrative']
1286,['informational_support']
1287,['narrative']
1288,['informational_support']
1289,"['informational_support', 'narrative']"
1290,['narrative']
1291,['question']
1292,"['informational_support', 'narrative']"
1293,['informational_support']
1294,['narrative']
1295,['emotional_support']
1296,['narrative']
1297,['narrative']
1298,['narrative']
1299,"['informational_support', 'narrative']"
1300,['narrative']
1301,[]
1302,[]
1303,[]
1304,['informational_support']
1305,['informational_support']
1306,['question']
1307,"['informational_support', 'narrative']"
1308,['narrative']
1309,"['narrative', 'question']"
1310,[]
1311,[]
1312,['external_source']
1313,['narrative']
1314,['question']
1315,['narrative']
1316,['question']
1317,['emotional_support']
1318,['emotional_support']
1319,['narrative']
1320,['question']
1321,[]
1322,['emotional_support']
1323,['informational_support']
1324,['emotional_support']
1325,['question']
1326,['narrative']
1327,['narrative']
1328,['emotional_support']
1329,['narrative']
1330,['narrative']
1331,[]
1332,"['emotional_support', 'narrative']"
1333,['narrative']
1334,['narrative']
1335,['emotional_support']
1336,['narrative']
1337,"['emotional_support', 'narrative']"
1338,['narrative']
1339,['question']
1340,"['narrative', 'question']"
1341,"['informational_support', 'narrative']"
1342,['narrative']
1343,['informational_support']
1344,['informational_support']
1345,['narrative']
1346,"['narrative', 'question']"
1347,['informational_support']
1348,['narrative']
1349,[]
1350,['informational_support']
1351,['question']
1352,['narrative']
1353,"['informational_support', 'narrative']"
1354,['question']
1355,['question']
1356,['informational_support']
1357,['informational_support']
1358,['question']
1359,['narrative']
1360,['emotional_support']
1361,['informational_support']
1362,['narrative']
1363,['informational_support']
1364,"['emotional_support', 'narrative']"
1365,['narrative']
1366,['informational_support']
1367,['narrative']
1368,['narrative']
1369,['informational_support']
1370,"['emotional_support', 'question']"
1371,"['informational_support', 'question']"
1372,['question']
1373,['question']
1374,"['informational_support', 'question']"
1375,['narrative']
1376,['informational_support']
1377,['informational_support']
1378,['question']
1379,['informational_support']
1380,['informational_support']
1381,['informational_support']
1382,"['emotional_support', 'informational_support']"
1383,[]
1384,['informational_support']
1385,['narrative']
1386,['narrative']
1387,"['external_source', 'informational_support']"
1388,['narrative']
1389,['narrative']
1390,[]
1391,['informational_support']
1392,['narrative']
1393,['narrative']
1394,"['emotional_support', 'narrative']"
1395,"['informational_support', 'narrative']"
1396,['question']
1397,['narrative']
1398,['narrative']
1399,[]
1400,[]
1401,"['informational_support', 'narrative']"
1402,['informational_support']
1403,"['informational_support', 'narrative']"
1404,"['informational_support', 'question']"
1405,['narrative']
1406,['informational_support']
1407,['informational_support']
1408,['informational_support']
1409,"['emotional_support', 'informational_support', 'narrative', 'question']"
1410,['question']
1411,['informational_support']
1412,[]
1413,[]
1414,['narrative']
1415,['informational_support']
1416,['external_source']
1417,[]
1418,['narrative']
1419,"['informational_support', 'narrative']"
1420,['informational_support']
1421,['narrative']
1422,"['emotional_support', 'informational_support']"
1423,['emotional_support']
